-23.53605,-46.77255;-23.54338,-46.711406
-23.53605,-46.77255;-23.506935,-46.746845
-23.53605,-46.77255;-23.5571725,-46.7451275
-23.53605,-46.77255;-23.615256,-46.742275
-23.53605,-46.77255;-23.605209,-47.0223961
-23.53605,-46.77255;-23.607689,-47.034954
-23.48964,-46.56503;-23.400933,-46.318348
-23.48964,-46.56503;-23.4856721,-46.5511804
-23.48964,-46.56503;-23.474572,-46.531652
-23.48964,-46.56503;-23.42301,-46.394891
-23.48964,-46.56503;-23.417169,-46.4554528
-23.48964,-46.56503;-23.4634,-46.52678
-23.48964,-46.56503;-23.4636449,-46.5272834
-23.48964,-46.56503;-23.465073,-46.513645
-23.48964,-46.56503;-23.4580203,-46.5686889
-23.48964,-46.56503;-23.451614,-46.551007
-23.48964,-46.56503;-23.41867,-46.382117
-23.48964,-46.56503;-23.423923,-46.489185
-23.48964,-46.56503;-23.455924,-46.560096
-23.48964,-46.56503;-23.451438,-46.474596
-23.48964,-46.56503;-23.454873,-46.566468
-23.48964,-46.56503;-23.544909,-46.252674
-23.48964,-46.56503;-23.534523,-46.185689
-23.48964,-46.56503;-23.450356,-46.56945
-23.48964,-46.56503;-23.53789,-46.476697
-23.48964,-46.56503;-23.5015338,-46.5765957
-23.48964,-46.56503;-23.564388,-46.415779
-23.48964,-46.56503;-23.508735,-46.600274
-23.48964,-46.56503;-23.478894,-46.673037
-23.48964,-46.56503;-23.493988,-46.659598
-23.48964,-46.56503;-23.513553,-46.67187
-23.48964,-46.56503;-23.489648,-46.565034
-23.48964,-46.56503;-23.506395,-46.623865
-23.48964,-46.56503;-23.520642,-46.555165
-23.48964,-46.56503;-23.468892,-46.568901
-23.48964,-46.56503;-23.508894,-46.685169
-23.48964,-46.56503;-23.523658,-46.475042
-23.48964,-46.56503;-23.506936,-46.667286
-23.48964,-46.56503;-23.522184,-46.526204
-23.48964,-46.56503;-23.486943,-46.620766
-23.48964,-46.56503;-23.529125,-46.560363
-23.48964,-46.56503;-23.491969,-46.611397
-23.48964,-46.56503;-23.503075,-46.63693
-23.48964,-46.56503;-23.481687,-46.6556
-23.48964,-46.56503;-23.500639,-46.686248
-23.48964,-46.56503;-23.464005,-46.583487
-23.48964,-46.56503;-23.5592457,-46.4461144
-23.48964,-46.56503;-23.44479,-46.73579
-23.48964,-46.56503;-23.479558,-46.726829
-23.48964,-46.56503;-23.5583213,-46.4452154
-23.48964,-46.56503;-23.508902,-46.605427
-23.48964,-46.56503;-23.512714,-46.590859
-23.48964,-46.56503;-23.551894,-46.319705
-23.48964,-46.56503;-23.559059,-46.33266
