-23.506395, -46.623865;-23.542758,-46.570613;9474
-23.506395, -46.623865;-23.481687,-46.6556;5232
-23.506395, -46.623865;-23.500639,-46.686248;9888
-23.506395, -46.623865;-23.464005,-46.583487;7155
-23.506395, -46.623865;-23.44479,-46.73579;28821
-23.506395, -46.623865;-23.554628,-46.6548253;7776
-23.506395, -46.623865;-23.577385,-46.686932;20055
-23.506395, -46.623865;-23.479558,-46.726829;15282
-23.506395, -46.623865;-23.5341989,-46.6728307;8137
-23.506395, -46.623865;-23.532056,-46.645563;5485
-23.506395, -46.623865;-23.5607866,-46.6785954;11440
-23.506395, -46.623865;-23.539,-46.661371;7386
-23.506395, -46.623865;-23.531852,-46.522709;14322
-23.506395, -46.623865;-23.508902,-46.605427;3327
-23.506395, -46.623865;-23.512714,-46.590859;4450
-23.70568, -46.550632;-23.679594,-46.596021;8408
-23.70568, -46.550632;-23.6857382,-46.6168527;10676
-23.70568, -46.550632;-23.6838897,-46.6334083;12330
-23.70568, -46.550632;-23.680209,-46.600498;9340
-23.70568, -46.550632;-23.990012,-46.286957;68410
-23.70568, -46.550632;-23.624695,-46.483861;17168
-23.70568, -46.550632;-23.665096,-46.4335212;24410
-23.70568, -46.550632;-23.6651899,-46.4341725;24410
-23.70568, -46.550632;-23.683986,-46.469496;25002
-23.70568, -46.550632;-23.676914,-46.465342;26203
-23.70568, -46.550632;-23.6655775,-46.4665554;20058
-23.70568, -46.550632;-23.671622,-46.458875;20550
-23.70568, -46.550632;-24.026642,-46.48182;59975
-23.70568, -46.550632;-23.682827,-46.3678;32113
-23.70568, -46.550632;-23.638189,-46.53416;12401
-23.70568, -46.550632;-23.647325,-46.545634;10688
-23.70568, -46.550632;-23.6718811,-46.5267441;6240
-23.70568, -46.550632;-23.634147,-46.503154;13899
-23.70568, -46.550632;-23.651876,-46.511256;12197
-23.70568, -46.550632;-23.637693,-46.542561;10832
-23.70568, -46.550632;-23.653926,-46.536786;11166
-23.70568, -46.550632;-23.672056,-46.539754;4521
-23.70568, -46.550632;-23.664325,-46.509322;8243
-23.70568, -46.550632;-23.672426,-46.539712;4483
-23.70568, -46.550632;-23.642101,-46.550721;11639
-23.70568, -46.550632;-23.627061,-46.535587;14381
-23.70568, -46.550632;-23.652378,-46.53403;9714
-23.70568, -46.550632;-23.649937,-46.547836;10687
-23.70568, -46.550632;-23.664812,-46.489967;10328
-23.70568, -46.550632;-23.9689529,-46.3123624;54015
-23.70568, -46.550632;-23.690535,-46.577106;4529
-23.70568, -46.550632;-23.731692,-46.552507;3585
-23.70568, -46.550632;-23.689725,-46.567793;4088
-23.70568, -46.550632;-23.70568,-46.550632;0
-23.70568, -46.550632;-23.683563,-46.57278;5091
-23.70568, -46.550632;-23.717221,-46.5490017;1652
-23.70568, -46.550632;-23.707466,-46.575584;3753
-23.70568, -46.550632;-23.718402,-46.603727;7177
-23.70568, -46.550632;-23.654379,-46.567719;8458
-23.70568, -46.550632;-23.62671,-46.55724;13717
-23.70568, -46.550632;-23.696655,-46.714833;27336
-23.70568, -46.550632;-23.730803,-46.697857;22118
-23.70568, -46.550632;-23.664238,-46.659785;15864
-23.70568, -46.550632;-23.747256,-46.555407;5395
-23.70568, -46.550632;-23.667652,-46.677878;27047
-23.70568, -46.550632;-23.6930607,-46.698714;24967
-23.70568, -46.550632;-23.669954,-46.648041;16308
-23.70568, -46.550632;-23.705514,-46.70218;21068
-23.70568, -46.550632;-23.66895,-46.650138;15680
-23.70568, -46.550632;-23.625004,-46.461509;25465
-23.70568, -46.550632;-23.665284,-46.67807;26783
-23.70568, -46.550632;-23.9616091,-46.39732;49860
-23.70568, -46.550632;-23.954327,-46.407908;48625
-23.614791, -46.627427;-23.624861,-46.628646;1513
-23.614791, -46.627427;-23.642932,-46.699149;11680
-23.614791, -46.627427;-23.627402,-46.675138;8246
-23.614791, -46.627427;-23.607797,-46.627683;1203
-23.614791, -46.627427;-23.5851849,-46.6179096;4234
-23.614791, -46.627427;-23.61913,-46.601625;5985
-23.614791, -46.627427;-23.568599,-46.582497;9444
-23.614791, -46.627427;-23.613822,-46.601075;5124
-23.614791, -46.627427;-23.6297936,-46.6869322;10340
-23.614791, -46.627427;-23.6208,-46.690992;10165
-23.614791, -46.627427;-23.571546,-46.633298;6883
